seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,SA02,0.7223674356937408,2,2,
7,0,SA03,0.6968781054019928,2,2,
7,0,SA09,0.7302766442298889,2,2,
7,0,SA12,0.7277439534664154,2,2,
7,0,SA13,0.7517262101173401,2,2,
7,0,SA14,0.717856764793396,2,2,
7,0,SA15,0.7085953652858734,2,2,
7,0,SA22,0.700700044631958,2,2,
7,0,SE11,0.7883845567703247,2,2,
7,0,SE14,0.7806620597839355,2,2,
7,300,SA02,0.7093546986579895,2,4,
7,300,SA03,0.7162291407585144,2,4,
7,300,SA09,0.699232429265976,2,4,
7,300,SA12,0.7070929408073425,2,4,
7,300,SA13,0.7137443423271179,2,4,
7,300,SA14,0.7002453207969666,2,4,
7,300,SA15,0.6982837915420532,2,4,
7,300,SA22,0.720038652420044,2,4,
7,300,SE11,0.7557583451271057,2,4,
7,300,SE14,0.7524256706237793,2,4,
7,600,SA02,0.7127889692783356,2,6,
7,600,SA03,0.6872837543487549,2,6,
7,600,SA09,0.69571852684021,2,6,
7,600,SA12,0.7051482498645782,2,6,
7,600,SA13,0.698432445526123,2,6,
7,600,SA14,0.6958597302436829,2,6,
7,600,SA15,0.7064739465713501,2,6,
7,600,SA22,0.7007018625736237,2,6,
7,600,SE11,0.7250950634479523,2,6,
7,600,SE14,0.72401362657547,2,6,
7,900,SA02,0.7016474306583405,2,8,
7,900,SA03,0.6855408251285553,2,8,
7,900,SA09,0.6914277970790863,2,8,
7,900,SA12,0.6910071969032288,2,8,
7,900,SA13,0.6939712464809418,2,8,
7,900,SA14,0.6912926435470581,2,8,
7,900,SA15,0.6921769976615906,2,8,
7,900,SA22,0.6917148232460022,2,8,
7,900,SE11,0.6848163604736328,2,8,
7,900,SE14,0.6934723258018494,2,8,
7,1200,SA02,0.6918578743934631,2,10,
7,1200,SA03,0.6810080409049988,2,10,
7,1200,SA09,0.6802816987037659,2,10,
7,1200,SA12,0.6755747497081757,2,10,
7,1200,SA13,0.6895928084850311,2,10,
7,1200,SA14,0.6997125446796417,2,10,
7,1200,SA15,0.6743518710136414,2,10,
7,1200,SA22,0.6886034607887268,2,10,
7,1200,SE11,0.6623084545135498,2,10,
7,1200,SE14,0.6612615585327148,2,10,
7,1500,SA02,0.6771005392074585,2,12,
7,1500,SA03,0.6734678149223328,2,12,
7,1500,SA09,0.678392082452774,2,12,
7,1500,SA12,0.6761258244514465,2,12,
7,1500,SA13,0.6816627383232117,2,12,
7,1500,SA14,0.6813459396362305,2,12,
7,1500,SA15,0.6724550724029541,2,12,
7,1500,SA22,0.6721271872520447,2,12,
7,1500,SE11,0.6363383829593658,2,12,
7,1500,SE14,0.6338509917259216,2,12,
7,1800,SA02,0.6964963972568512,2,14,
7,1800,SA03,0.6655635833740234,2,14,
7,1800,SA09,0.6849383115768433,2,14,
7,1800,SA12,0.6574791967868805,2,14,
7,1800,SA13,0.6640117168426514,2,14,
7,1800,SA14,0.6554170846939087,2,14,
7,1800,SA15,0.6801038086414337,2,14,
7,1800,SA22,0.6728092432022095,2,14,
7,1800,SE11,0.6166248321533203,2,14,
7,1800,SE14,0.6162708699703217,2,14,
7,2100,SA02,0.665471076965332,2,16,
7,2100,SA03,0.653997540473938,2,16,
7,2100,SA09,0.663252204656601,2,16,
7,2100,SA12,0.6486990451812744,2,16,
7,2100,SA13,0.6681877970695496,2,16,
7,2100,SA14,0.6547245979309082,2,16,
7,2100,SA15,0.6694003045558929,2,16,
7,2100,SA22,0.6765259802341461,2,16,
7,2100,SE11,0.586082398891449,2,16,
7,2100,SE14,0.589227169752121,2,16,
7,2400,SA02,0.6764978468418121,2,18,
7,2400,SA03,0.647067129611969,2,18,
7,2400,SA09,0.6532997190952301,2,18,
7,2400,SA12,0.6455668807029724,2,18,
7,2400,SA13,0.6791568398475647,2,18,
7,2400,SA14,0.6586602032184601,2,18,
7,2400,SA15,0.668069064617157,2,18,
7,2400,SA22,0.6515474915504456,2,18,
7,2400,SE11,0.5556358695030212,2,18,
7,2400,SE14,0.5655937790870667,2,18,
7,2700,SA02,0.6641444861888885,2,20,
7,2700,SA03,0.707738608121872,2,20,
7,2700,SA09,0.6605885326862335,2,20,
7,2700,SA12,0.6405836343765259,2,20,
7,2700,SA13,0.6700505614280701,2,20,
7,2700,SA14,0.638780802488327,2,20,
7,2700,SA15,0.672016054391861,2,20,
7,2700,SA22,0.6258949041366577,2,20,
7,2700,SE11,0.533373236656189,2,20,
7,2700,SE14,0.559889942407608,2,20,
7,3000,SA02,0.6515261232852936,2,22,
7,3000,SA03,0.6431806087493896,2,22,
7,3000,SA09,0.6452342867851257,2,22,
7,3000,SA12,0.6421221792697906,2,22,
7,3000,SA13,0.6520344614982605,2,22,
7,3000,SA14,0.6753481030464172,2,22,
7,3000,SA15,0.6733965277671814,2,22,
7,3000,SA22,0.6204924285411835,2,22,
7,3000,SE11,0.5274023711681366,2,22,
7,3000,SE14,0.5218518972396851,2,22,
7,3300,SA02,0.6281784176826477,2,24,
7,3300,SA03,0.6211891174316406,2,24,
7,3300,SA09,0.6273434162139893,2,24,
7,3300,SA12,0.6333132684230804,2,24,
7,3300,SA13,0.6197658479213715,2,24,
7,3300,SA14,0.6445327997207642,2,24,
7,3300,SA15,0.656567394733429,2,24,
7,3300,SA22,0.6227072775363922,2,24,
7,3300,SE11,0.4831365942955017,2,24,
7,3300,SE14,0.4929463863372803,2,24,
7,3600,SA02,0.6647074222564697,2,26,
7,3600,SA03,0.5921124219894409,2,26,
7,3600,SA09,0.6635173559188843,2,26,
7,3600,SA12,0.6461674571037292,2,26,
7,3600,SA13,0.6274048984050751,2,26,
7,3600,SA14,0.6324910521507263,2,26,
7,3600,SA15,0.6205767393112183,2,26,
7,3600,SA22,0.6469772160053253,2,26,
7,3600,SE11,0.5022125542163849,2,26,
7,3600,SE14,0.4878128319978714,2,26,
7,3900,SA02,0.6290804147720337,2,28,
7,3900,SA03,0.6036702394485474,2,28,
7,3900,SA09,0.5998575687408447,2,28,
7,3900,SA12,0.5893492698669434,2,28,
7,3900,SA13,0.6524063348770142,2,28,
7,3900,SA14,0.6467934250831604,2,28,
7,3900,SA15,0.6431532502174377,2,28,
7,3900,SA22,0.6208215057849884,2,28,
7,3900,SE11,0.47566674649715424,2,28,
7,3900,SE14,0.4824302941560745,2,28,
7,4200,SA02,0.6358749270439148,2,30,
7,4200,SA03,0.6182047724723816,2,30,
7,4200,SA09,0.6496894955635071,2,30,
7,4200,SA12,0.6153210699558258,2,30,
7,4200,SA13,0.5896290838718414,2,30,
7,4200,SA14,0.6101436018943787,2,30,
7,4200,SA15,0.6543188393115997,2,30,
7,4200,SA22,0.60773566365242,2,30,
7,4200,SE11,0.44787414371967316,2,30,
7,4200,SE14,0.44558802247047424,2,30,
7,4500,SA02,0.6177860498428345,2,32,
7,4500,SA03,0.5990425050258636,2,32,
7,4500,SA09,0.6546555161476135,2,32,
7,4500,SA12,0.5638120472431183,2,32,
7,4500,SA13,0.6406639218330383,2,32,
7,4500,SA14,0.6422763466835022,2,32,
7,4500,SA15,0.6151275336742401,2,32,
7,4500,SA22,0.596233069896698,2,32,
7,4500,SE11,0.4357532262802124,2,32,
7,4500,SE14,0.445626899600029,2,32,
7,4800,SA02,0.6349048614501953,2,34,
7,4800,SA03,0.5872557759284973,2,34,
7,4800,SA09,0.6079992651939392,2,34,
7,4800,SA12,0.5912705659866333,2,34,
7,4800,SA13,0.6567690968513489,2,34,
7,4800,SA14,0.605762779712677,2,34,
7,4800,SA15,0.6251672804355621,2,34,
7,4800,SA22,0.5935896039009094,2,34,
7,4800,SE11,0.42960885167121887,2,34,
7,4800,SE14,0.4233545809984207,2,34,
7,5100,SA02,0.6083151400089264,2,36,
7,5100,SA03,0.6483646631240845,2,36,
7,5100,SA09,0.5776940584182739,2,36,
7,5100,SA12,0.6608638763427734,2,36,
7,5100,SA13,0.6303095519542694,2,36,
7,5100,SA14,0.5988060534000397,2,36,
7,5100,SA15,0.6073402166366577,2,36,
7,5100,SA22,0.6077073216438293,2,36,
7,5100,SE11,0.4082084596157074,2,36,
7,5100,SE14,0.41413816809654236,2,36,
7,5400,SA02,0.629916250705719,2,38,
7,5400,SA03,0.6113422513008118,2,38,
7,5400,SA09,0.5795694887638092,2,38,
7,5400,SA12,0.6604251265525818,2,38,
7,5400,SA13,0.637893795967102,2,38,
7,5400,SA14,0.6476740837097168,2,38,
7,5400,SA15,0.5891892611980438,2,38,
7,5400,SA22,0.5956455767154694,2,38,
7,5400,SE11,0.40903742611408234,2,38,
7,5400,SE14,0.38813814520835876,2,38,
7,5700,SA02,0.681598961353302,2,40,
7,5700,SA03,0.590467095375061,2,40,
7,5700,SA09,0.562852680683136,2,40,
7,5700,SA12,0.5849485993385315,2,40,
7,5700,SA13,0.6453259885311127,2,40,
7,5700,SA14,0.632535308599472,2,40,
