epoch,epoch_seconds,f1_average,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1,is_best,epochs_without_improvement
63,2.512807,macro,0.06749787,0.99019608,0.98533374,1.21292603,0.65714286,0.65020614,false,10
64,2.457281,macro,0.05977589,0.99509804,0.99321423,1.22073317,0.65000000,0.64550184,false,11
65,2.474373,macro,0.05271973,1.00000000,1.00000000,1.31070292,0.65000000,0.64279231,false,12
66,2.444131,macro,0.04633714,1.00000000,1.00000000,1.29574192,0.63571429,0.63064426,false,13
67,2.398569,macro,0.04061097,1.00000000,1.00000000,1.41926885,0.64285714,0.63615080,false,14
68,2.457346,macro,0.03522643,1.00000000,1.00000000,1.40183973,0.63571429,0.63064426,false,15
69,2.417048,macro,0.03023500,1.00000000,1.00000000,1.42322135,0.64285714,0.63755189,false,16
70,2.438321,macro,0.02624304,1.00000000,1.00000000,1.48401487,0.65000000,0.64434986,false,17
71,2.466421,macro,0.02288809,1.00000000,1.00000000,1.46369648,0.65714286,0.64911315,false,18
72,2.490607,macro,0.01958295,1.00000000,1.00000000,1.46801341,0.66428571,0.65588910,false,19
73,2.428163,macro,0.01699194,1.00000000,1.00000000,1.51622283,0.67857143,0.66888889,false,20
74,2.488199,macro,0.01466467,1.00000000,1.00000000,1.53610301,0.67142857,0.66190476,false,21
75,2.502767,macro,0.01267720,1.00000000,1.00000000,1.54329622,0.67142857,0.66116365,false,22
76,2.438665,macro,0.01103684,1.00000000,1.00000000,1.57740140,0.67857143,0.66726643,false,23
77,2.516516,macro,0.00956907,1.00000000,1.00000000,1.61295390,0.67857143,0.66635416,false,24
78,2.500355,macro,0.00842805,1.00000000,1.00000000,1.60914898,0.67857143,0.66726643,false,25
79,2.407000,macro,0.00736635,1.00000000,1.00000000,1.59684312,0.67857143,0.66673794,false,26
80,2.563064,macro,0.00651619,1.00000000,1.00000000,1.60110915,0.68571429,0.67049789,false,27
81,2.519713,macro,0.00577802,1.00000000,1.00000000,1.61438060,0.68571429,0.67049789,false,28
82,2.419008,macro,0.00513318,1.00000000,1.00000000,1.62414956,0.70000000,0.68347276,false,29
83,2.588739,macro,0.00461794,1.00000000,1.00000000,1.62451410,0.70714286,0.68709721,false,30
84,2.578316,macro,0.00412057,1.00000000,1.00000000,1.62553513,0.71428571,0.69349213,false,31
85,2.538812,macro,0.00373427,1.00000000,1.00000000,1.62981856,0.70714286,0.68684075,false,32
86,2.569339,macro,0.00338228,1.00000000,1.00000000,1.63430572,0.71428571,0.69222380,false,33
87,2.592484,macro,0.00305704,1.00000000,1.00000000,1.63656664,0.71428571,0.69222380,false,34
88,2.382209,macro,0.00280967,1.00000000,1.00000000,1.63851893,0.71428571,0.69222380,false,35
89,2.400801,macro,0.00257224,1.00000000,1.00000000,1.64405346,0.70714286,0.68444444,false,36
90,2.377648,macro,0.00236388,1.00000000,1.00000000,1.65258276,0.71428571,0.68714169,false,37
91,2.439982,macro,0.00219591,1.00000000,1.00000000,1.66177893,0.72142857,0.69343574,false,38
92,2.503583,macro,0.00203362,1.00000000,1.00000000,1.66952276,0.72142857,0.69343574,false,39
93,2.428640,macro,0.00188775,1.00000000,1.00000000,1.67536581,0.72142857,0.69343574,false,40
94,2.365079,macro,0.00176976,1.00000000,1.00000000,1.68042922,0.72857143,0.69869829,false,41
95,2.336771,macro,0.00166128,1.00000000,1.00000000,1.68692172,0.72142857,0.69051888,false,42
96,2.533306,macro,0.00155566,1.00000000,1.00000000,1.69645953,0.72857143,0.69236255,false,43
97,2.524774,macro,0.00146643,1.00000000,1.00000000,1.70723975,0.73571429,0.69762741,false,44
98,2.388986,macro,0.00139062,1.00000000,1.00000000,1.71667945,0.73571429,0.69762741,false,45
99,2.574973,macro,0.00131571,1.00000000,1.00000000,1.72468436,0.73571429,0.69762741,false,46
100,2.566439,macro,0.00124567,1.00000000,1.00000000,1.73280632,0.73571429,0.69762741,false,47
