board_id,current_a,measured_role,relative_time_s,sample_index
f5ea5fa8fcfa5209,0.00111001041,initiator,1.72,86
f5ea5fa8fcfa5209,0.00119004305,initiator,1.74,87
f5ea5fa8fcfa5209,0.00122689358,initiator,1.76,88
f5ea5fa8fcfa5209,0.00110822311,initiator,1.78,89
f5ea5fa8fcfa5209,0.00118764475,initiator,1.8,90
f5ea5fa8fcfa5209,0.001205681,initiator,1.82,91
f5ea5fa8fcfa5209,0.00107150533,initiator,1.84,92
f5ea5fa8fcfa5209,0.0011511007,initiator,1.86,93
f5ea5fa8fcfa5209,0.0011403002,initiator,1.88,94
f5ea5fa8fcfa5209,0.00104476189,initiator,1.9,95
f5ea5fa8fcfa5209,0.00111937674,initiator,1.92,96
f5ea5fa8fcfa5209,0.00116641446,initiator,1.94,97
f5ea5fa8fcfa5209,0.00111045706,initiator,1.96,98
f5ea5fa8fcfa5209,0.00118376842,initiator,1.98,99
f5ea5fa8fcfa5209,0.00121764217,initiator,2,100
f5ea5fa8fcfa5209,0.00111788448,initiator,2.02,101
f5ea5fa8fcfa5209,0.00118966781,initiator,2.04,102
f5ea5fa8fcfa5209,0.00123372053,initiator,2.06,103
f5ea5fa8fcfa5209,0.00111126147,initiator,2.08,104
f5ea5fa8fcfa5209,0.0011961576,initiator,2.1,105
f5ea5fa8fcfa5209,0.00118800031,initiator,2.12,106
f5ea5fa8fcfa5209,0.00111982258,initiator,2.14,107
f5ea5fa8fcfa5209,0.00120445957,initiator,2.16,108
f5ea5fa8fcfa5209,0.00120764087,initiator,2.18,109
f5ea5fa8fcfa5209,0.00110929373,initiator,2.2,110
f5ea5fa8fcfa5209,0.00120226915,initiator,2.22,111
f5ea5fa8fcfa5209,0.00120790835,initiator,2.24,112
f5ea5fa8fcfa5209,0.00113867957,initiator,2.26,113
f5ea5fa8fcfa5209,0.0011818155,initiator,2.28,114
f5ea5fa8fcfa5209,0.00121129324,initiator,2.3,115
f5ea5fa8fcfa5209,0.00111682902,initiator,2.32,116
