run_id,pair_id,board_id,event_path,role,trial_id,stage,duration_ms,source_file,source_line
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,5,local_step_1_update,16.767000,results\COM10_2026_09_15.14.13.01.333.txt,144
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,5,local_step_2_encoder,1741.312000,results\COM10_2026_09_15.14.13.01.333.txt,145
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,5,local_step_2_head_forward_backward,12.162000,results\COM10_2026_09_15.14.13.01.333.txt,146
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,5,local_step_2_update,16.928000,results\COM10_2026_09_15.14.13.01.333.txt,147
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,5,end_to_end,3540.682000,results\COM10_2026_09_15.14.13.01.333.txt,148
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,local_step_1_encoder,1740.938000,results\COM10_2026_09_15.14.13.01.333.txt,150
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,local_step_1_head_forward_backward,12.480000,results\COM10_2026_09_15.14.13.01.333.txt,151
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,local_step_1_update,17.024000,results\COM10_2026_09_15.14.13.01.333.txt,152
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,local_step_2_encoder,1740.865000,results\COM10_2026_09_15.14.13.01.333.txt,153
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,local_step_2_head_forward_backward,12.363000,results\COM10_2026_09_15.14.13.01.333.txt,154
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,local_step_2_update,16.892000,results\COM10_2026_09_15.14.13.01.333.txt,155
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,6,end_to_end,3540.591000,results\COM10_2026_09_15.14.13.01.333.txt,156
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,local_step_1_encoder,1740.840000,results\COM10_2026_09_15.14.13.01.333.txt,158
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,local_step_1_head_forward_backward,12.645000,results\COM10_2026_09_15.14.13.01.333.txt,159
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,local_step_1_update,16.758000,results\COM10_2026_09_15.14.13.01.333.txt,160
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,local_step_2_encoder,1740.868000,results\COM10_2026_09_15.14.13.01.333.txt,161
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,local_step_2_head_forward_backward,12.364000,results\COM10_2026_09_15.14.13.01.333.txt,162
