image,memory,category,section,address,bytes,object,source_file,source_sha256
pulse,static_ram,base_firmware,.bss.silex_pk_engine,0x2001c1d8,108,modules/nrf/subsys/nrf_security/src/drivers/cracen/libcracen_psa_driver.a(pk_baremetal.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.device_driver_event_manager,0x2001c244,44,app/libapp.a(device_driver_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.device_manager_stream_observers,0x2001c270,14,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.device_manager_config_state,0x2001c280,16,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.sys_spi_data_0,0x2001c290,32,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.daughter_if_claimed,0x2001c2b0,4,app/libapp.a(daughter_if.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.campaign_measured_failure_count,0x2001c2b4,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.responder_record_pending,0x2001c2b8,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.measured_stages,0x2001c2bc,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.measurement_state,0x2001c2c0,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.responder_transfer,0x2001c2c4,24,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.protocol_result,0x2001c2dc,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.link_dropped,0x2001c2e0,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.link_result,0x2001c2e4,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.app_connection,0x2001c2e8,4,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.link_manager,0x2001c2ec,148,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.board_id,0x2001c380,17,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.active_link,0x2001c394,4,app/libapp.a(pulse_link.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.marker_mask,0x2001c398,4,app/libapp.a(pulse_metrics.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.marker_port,0x2001c39c,4,app/libapp.a(pulse_metrics.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.marker_pins,0x2001c3a0,16,app/libapp.a(pulse_metrics.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,.bss.metric_record_count,0x2001c3b0,4,app/libapp.a(pulse_metrics.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.z_arm_tls_ptr,0x2001c3b4,4,zephyr/arch/arch/arm/core/libarch__arm__core.a(tls.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.dyn_reg_info,0x2001c3b8,20,zephyr/arch/arch/arm/core/mpu/libarch__arm__core__mpu.a(arm_mpu.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss._stdout_hook,0x2001c3cc,4,zephyr/lib/libc/picolibc/liblib__libc__picolibc.a(stdio.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.z_malloc_heap,0x2001c3d0,12,zephyr/lib/libc/common/liblib__libc__common.a(malloc.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.buf_rx_freed_cb,0x2001c3dc,4,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(buf.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.disconnected_handles_reason,0x2001c3e0,1,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(hci_core.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.disconnected_handles,0x2001c3e4,2,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(hci_core.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.cmd_data,0x2001c3e8,24,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(hci_core.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.ready_cb,0x2001c400,4,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(hci_core.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.scan_state,0x2001c404,68,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(scan.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.scan_dev_found_cb,0x2001c448,4,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(scan.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.frag_md_pool,0x2001c44c,16,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(conn.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.conn_tx,0x2001c45c,36,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(conn.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.bt_l2cap_pool,0x2001c480,72,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(l2cap.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.tx_destroy_queue,0x2001c4c8,8,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(att.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.tx_meta_data_storage,0x2001c4d0,72,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(att.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.att_handle_rsp_thread,0x2001c518,4,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(att.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.cancel,0x2001c51c,16,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(att.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.sc_range,0x2001c52c,4,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
