image,firmware_revision,build_variant,artifact_sha256,elf_source_file,elf_sha256,map_source_file,map_sha256,nm_source_file,nm_sha256,run_metadata_source_file,run_metadata_sha256,correctness_source_file,correctness_sha256,firmware_revision_embedded_in_elf,artifact_sha256_embedded_in_elf,binding_method
baseline,,,,results\fig4b\evidence\baseline\zephyr.elf,af6ea01fbb262d11e0945e15bacaff33b949dc7c8b59e8d52e7c1059022f7ba8,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079,,,,,,,0,0,sha256_files_no_uart_revision_schema
pulse,bca004d67e520d879c4d17367b5436bb9f2383a4,pulse_release,6716da0b2cf47106d541f526f3ae258d46f820608290c7ceb563e121d41ee320,results\fig4b\evidence\release\zephyr.elf,e6517f04afe711ac5b67fb014051c8a82bc3a392f606ac092bd69a9729e1ce69,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb,,,results\latency\run_metadata.csv,b734929e4274f03fc3be3d5f709d3b5954a05841c97db34d78984bc196233d2d,,,1,1,sha256_files_plus_uart_constants_embedded_in_elf
