resource,baseline_used_bytes,pulse_used_bytes,incremental_bytes,capacity_bytes,pulse_free_bytes,baseline_used_kib,pulse_used_kib,incremental_kib,capacity_kib,pulse_free_kib,baseline_utilization_pct,pulse_utilization_pct,pulse_map_sha256,baseline_map_sha256,head_serialized_bytes,gradient_serialized_bytes,peer_entry_bytes,peer_limit,utility_table_bytes,firmware_revision,artifact_sha256
Flash,359216,575312,216096,1560576,985264,350.8,561.8,211.0,1524.0,962.2,23.0,36.9,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079,18200,18200,24,8,208,bca004d67e520d879c4d17367b5436bb9f2383a4,6716da0b2cf47106d541f526f3ae258d46f820608290c7ceb563e121d41ee320
Static RAM,59256,153360,94104,262144,108784,57.9,149.8,91.9,256.0,106.2,22.6,58.5,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079,18200,18200,24,8,208,bca004d67e520d879c4d17367b5436bb9f2383a4,6716da0b2cf47106d541f526f3ae258d46f820608290c7ceb563e121d41ee320
